# x_rms,y_rms,z_rms,x_mean,y_mean,z_mean,x_std,y_std,z_std,label
7.811997861102465412e-02,3.472536815264399834e-01,9.345117172128698524e-01,-7.664160835840816421e-02,3.471795083323272468e-01,9.345096104167547324e-01,1.512596861107841709e-02,7.176930248354045430e-03,1.984350491290907004e-03,0.000000000000000000e+00
1.527426759149856650e-01,3.075768617417906081e-01,9.391837674680078019e-01,-1.506653507943299664e-01,3.059015810588475714e-01,9.391393207757623429e-01,2.510532046582625645e-02,3.205851812897656666e-02,9.137026225239071667e-03,0.000000000000000000e+00
1.191399051861103536e-01,3.679322436457088674e-01,9.221884552942957169e-01,-1.038328606995932851e-01,3.656942095735944975e-01,9.221258036489343723e-01,5.842134923719432410e-02,4.052013078099882953e-02,1.074938709350390861e-02,0.000000000000000000e+00
2.607885162108411134e-02,4.046914582034831231e-01,9.140813514973730181e-01,1.180058429463961417e-02,4.046044044963861275e-01,9.140735238615130820e-01,2.325624028469835264e-02,8.393581177672110316e-03,3.782873333820174593e-03,0.000000000000000000e+00
9.787841486287029991e-02,3.771110621863664747e-01,9.209815756466588343e-01,-8.137312330022776485e-02,3.768309384013801000e-01,9.209737679688476675e-01,5.439300414974413550e-02,1.453262147256496883e-02,3.792280826295905266e-03,0.000000000000000000e+00
1.410370084417289505e-01,3.813249567850298671e-01,9.136190888891839723e-01,-1.285345945864087014e-01,3.804824346474662278e-01,9.134911715020493927e-01,5.805424829157537076e-02,2.533455331837324714e-02,1.528787658623751052e-02,0.000000000000000000e+00
2.054961302230679243e-01,3.947984696601049004e-01,8.954917692627795134e-01,-1.983476903109349376e-01,3.939159883479930735e-01,8.953469489918673974e-01,5.372944523232599939e-02,2.638230031260618141e-02,1.610433942568677279e-02,0.000000000000000000e+00
1.532367992066452356e-01,3.848347631845793204e-01,9.101761853693882687e-01,-1.515784141606358049e-01,3.830985172925591709e-01,9.099790194209779193e-01,2.248334920879175094e-02,3.651466833443743620e-02,1.894393378384235174e-02,0.000000000000000000e+00
9.152245829630920038e-02,3.841187695868635288e-01,9.187363117230505916e-01,-8.241711583209061776e-02,3.828423544582328919e-01,9.186581902680907019e-01,3.979672587687854007e-02,3.128834897853801505e-02,1.198081515719834692e-02,0.000000000000000000e+00
1.245455537066949836e-01,3.970087910260848840e-01,9.093252580347139791e-01,-1.228475935807801372e-01,3.948031022702451209e-01,9.091051242829610857e-01,2.049545558212136076e-02,4.179103480154501560e-02,2.000744617288753927e-02,0.000000000000000000e+00
